"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19598","Пользователь может добавить задачу на доску","ui-tests","Tue Apr 29 19:57:46 GMT 2025","passed","Tue Apr 29 19:58:05 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","209","Получить все задачи","api-tests","Tue Apr 29 19:59:27 GMT 2025","passed","Tue Apr 29 19:59:27 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","215","Получить одну задачу","api-tests","Tue Apr 29 19:59:28 GMT 2025","passed","Tue Apr 29 19:59:28 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","19425","Пользователь может завершить задачу кликнув чекбокс","ui-tests","Tue Apr 29 19:58:06 GMT 2025","passed","Tue Apr 29 19:58:25 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","219","Создать задачу","api-tests","Tue Apr 29 19:59:28 GMT 2025","passed","Tue Apr 29 19:59:28 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","20144","Пользователь может создать новый проект","ui-tests","Tue Apr 29 19:58:45 GMT 2025","passed","Tue Apr 29 19:59:05 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","219","Удалить задачу","api-tests","Tue Apr 29 19:59:29 GMT 2025","passed","Tue Apr 29 19:59:29 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","20163","Пользователь может изменить заголовок задачи","ui-tests","Tue Apr 29 19:58:25 GMT 2025","passed","Tue Apr 29 19:58:45 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","21028","Пользователь может удалить проект","ui-tests","Tue Apr 29 19:59:05 GMT 2025","passed","Tue Apr 29 19:59:26 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","438","Обновить задачу","api-tests","Tue Apr 29 19:59:28 GMT 2025","passed","Tue Apr 29 19:59:29 GMT 2025","API tests","e2e/api/api.spec.ts","",""
