"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","528","Обновить задачу","api-tests","Mon Apr 28 12:40:57 GMT 2025","passed","Mon Apr 28 12:40:58 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","22775","Пользователь может завершить задачу кликнув чекбокс","ui-tests","Mon Apr 28 12:39:21 GMT 2025","passed","Mon Apr 28 12:39:43 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","247","Получить одну задачу","api-tests","Mon Apr 28 12:40:57 GMT 2025","passed","Mon Apr 28 12:40:57 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","264","Удалить задачу","api-tests","Mon Apr 28 12:40:58 GMT 2025","passed","Mon Apr 28 12:40:58 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","137","Получить все задачи","api-tests","Mon Apr 28 12:40:56 GMT 2025","passed","Mon Apr 28 12:40:57 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","258","Создать задачу","api-tests","Mon Apr 28 12:40:57 GMT 2025","passed","Mon Apr 28 12:40:57 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","23776","Пользователь может изменить заголовок задачи","ui-tests","Mon Apr 28 12:39:43 GMT 2025","passed","Mon Apr 28 12:40:07 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","23253","Пользователь может добавить задачу на доску","ui-tests","Mon Apr 28 12:38:54 GMT 2025","passed","Mon Apr 28 12:39:17 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","23741","Пользователь может создать новый проект","ui-tests","Mon Apr 28 12:40:07 GMT 2025","passed","Mon Apr 28 12:40:31 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","24561","Пользователь может удалить проект","ui-tests","Mon Apr 28 12:40:31 GMT 2025","passed","Mon Apr 28 12:40:55 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
