"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21450","Пользователь может удалить проект","ui-tests","Sun Apr 27 16:25:15 GMT 2025","passed","Sun Apr 27 16:25:36 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","446","Обновить задачу","api-tests","Sun Apr 27 16:25:38 GMT 2025","passed","Sun Apr 27 16:25:38 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","214","Создать задачу","api-tests","Sun Apr 27 16:25:38 GMT 2025","passed","Sun Apr 27 16:25:38 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","215","Получить одну задачу","api-tests","Sun Apr 27 16:25:38 GMT 2025","passed","Sun Apr 27 16:25:38 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","19689","Пользователь может завершить задачу кликнув чекбокс","ui-tests","Sun Apr 27 16:24:14 GMT 2025","passed","Sun Apr 27 16:24:33 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","19835","Пользователь может добавить задачу на доску","ui-tests","Sun Apr 27 16:23:54 GMT 2025","passed","Sun Apr 27 16:24:13 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","238","Удалить задачу","api-tests","Sun Apr 27 16:25:38 GMT 2025","passed","Sun Apr 27 16:25:39 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","20560","Пользователь может создать новый проект","ui-tests","Sun Apr 27 16:24:54 GMT 2025","passed","Sun Apr 27 16:25:15 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","20710","Пользователь может изменить заголовок задачи","ui-tests","Sun Apr 27 16:24:33 GMT 2025","passed","Sun Apr 27 16:24:54 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","211","Получить все задачи","api-tests","Sun Apr 27 16:25:37 GMT 2025","passed","Sun Apr 27 16:25:37 GMT 2025","API tests","e2e/api/api.spec.ts","",""
