"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23741","Пользователь может изменить заголовок задачи","ui-tests","Mon Apr 28 20:49:02 GMT 2025","passed","Mon Apr 28 20:49:26 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","23831","Пользователь может создать новый проект","ui-tests","Mon Apr 28 20:49:26 GMT 2025","passed","Mon Apr 28 20:49:50 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","22873","Пользователь может завершить задачу кликнув чекбокс","ui-tests","Mon Apr 28 20:48:39 GMT 2025","passed","Mon Apr 28 20:49:02 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","250","Создать задачу","api-tests","Mon Apr 28 20:50:16 GMT 2025","passed","Mon Apr 28 20:50:17 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","258","Удалить задачу","api-tests","Mon Apr 28 20:50:17 GMT 2025","passed","Mon Apr 28 20:50:17 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","514","Обновить задачу","api-tests","Mon Apr 28 20:50:17 GMT 2025","passed","Mon Apr 28 20:50:17 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","248","Получить одну задачу","api-tests","Mon Apr 28 20:50:16 GMT 2025","passed","Mon Apr 28 20:50:16 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","24760","Пользователь может удалить проект","ui-tests","Mon Apr 28 20:49:50 GMT 2025","passed","Mon Apr 28 20:50:15 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","23369","Пользователь может добавить задачу на доску","ui-tests","Mon Apr 28 20:48:16 GMT 2025","passed","Mon Apr 28 20:48:39 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","250","Получить все задачи","api-tests","Mon Apr 28 20:50:15 GMT 2025","passed","Mon Apr 28 20:50:16 GMT 2025","API tests","e2e/api/api.spec.ts","",""
