"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23257","Пользователь может завершить задачу кликнув чекбокс","ui-tests","Tue May 20 19:36:57 GMT 2025","passed","Tue May 20 19:37:21 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","23291","Пользователь может добавить задачу на доску","ui-tests","Tue May 20 19:36:34 GMT 2025","passed","Tue May 20 19:36:57 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","404","Удалить задачу","api-tests","Tue May 20 19:38:36 GMT 2025","passed","Tue May 20 19:38:36 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","407","Получить одну задачу","api-tests","Tue May 20 19:38:34 GMT 2025","passed","Tue May 20 19:38:35 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","23689","Пользователь может изменить заголовок задачи","ui-tests","Tue May 20 19:37:21 GMT 2025","passed","Tue May 20 19:37:44 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","668","Обновить задачу","api-tests","Tue May 20 19:38:35 GMT 2025","passed","Tue May 20 19:38:36 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","409","Создать задачу","api-tests","Tue May 20 19:38:35 GMT 2025","passed","Tue May 20 19:38:35 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","552","Получить все задачи","api-tests","Tue May 20 19:38:34 GMT 2025","passed","Tue May 20 19:38:34 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","24580","Пользователь может удалить проект","ui-tests","Tue May 20 19:38:08 GMT 2025","passed","Tue May 20 19:38:33 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","23926","Пользователь может создать новый проект","ui-tests","Tue May 20 19:37:44 GMT 2025","passed","Tue May 20 19:38:08 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
