"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","270","Удалить задачу","api-tests","Mon Apr 28 20:55:10 GMT 2025","passed","Mon Apr 28 20:55:11 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","26577","Пользователь может удалить проект","ui-tests","Mon Apr 28 20:54:41 GMT 2025","passed","Mon Apr 28 20:55:08 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","25496","Пользователь может изменить заголовок задачи","ui-tests","Mon Apr 28 20:53:50 GMT 2025","passed","Mon Apr 28 20:54:15 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","25139","Пользователь может добавить задачу на доску","ui-tests","Mon Apr 28 20:53:00 GMT 2025","passed","Mon Apr 28 20:53:25 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","270","Получить все задачи","api-tests","Mon Apr 28 20:55:08 GMT 2025","passed","Mon Apr 28 20:55:09 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","24856","Пользователь может завершить задачу кликнув чекбокс","ui-tests","Mon Apr 28 20:53:25 GMT 2025","passed","Mon Apr 28 20:53:50 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","270","Создать задачу","api-tests","Mon Apr 28 20:55:09 GMT 2025","passed","Mon Apr 28 20:55:10 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","270","Получить одну задачу","api-tests","Mon Apr 28 20:55:09 GMT 2025","passed","Mon Apr 28 20:55:09 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","25648","Пользователь может создать новый проект","ui-tests","Mon Apr 28 20:54:15 GMT 2025","passed","Mon Apr 28 20:54:41 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","557","Обновить задачу","api-tests","Mon Apr 28 20:55:10 GMT 2025","passed","Mon Apr 28 20:55:10 GMT 2025","API tests","e2e/api/api.spec.ts","",""
