"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21362","Пользователь может удалить проект","ui-tests","Sun Apr 27 18:24:23 GMT 2025","passed","Sun Apr 27 18:24:44 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","209","Получить все задачи","api-tests","Sun Apr 27 18:24:45 GMT 2025","passed","Sun Apr 27 18:24:45 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","214","Получить одну задачу","api-tests","Sun Apr 27 18:24:45 GMT 2025","passed","Sun Apr 27 18:24:46 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","20279","Пользователь может изменить заголовок задачи","ui-tests","Sun Apr 27 18:23:42 GMT 2025","passed","Sun Apr 27 18:24:02 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","212","Создать задачу","api-tests","Sun Apr 27 18:24:46 GMT 2025","passed","Sun Apr 27 18:24:46 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","464","Обновить задачу","api-tests","Sun Apr 27 18:24:46 GMT 2025","passed","Sun Apr 27 18:24:46 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","20408","Пользователь может создать новый проект","ui-tests","Sun Apr 27 18:24:02 GMT 2025","passed","Sun Apr 27 18:24:23 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","20147","Пользователь может добавить задачу на доску","ui-tests","Sun Apr 27 18:23:02 GMT 2025","passed","Sun Apr 27 18:23:22 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","19424","Пользователь может завершить задачу кликнув чекбокс","ui-tests","Sun Apr 27 18:23:23 GMT 2025","passed","Sun Apr 27 18:23:42 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","229","Удалить задачу","api-tests","Sun Apr 27 18:24:46 GMT 2025","passed","Sun Apr 27 18:24:47 GMT 2025","API tests","e2e/api/api.spec.ts","",""
