"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33262","Пользователь может изменить заголовок задачи","ui-tests","Sun Apr 27 18:48:43 GMT 2025","passed","Sun Apr 27 18:49:17 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","353","Получить одну задачу","api-tests","Sun Apr 27 18:50:25 GMT 2025","passed","Sun Apr 27 18:50:26 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","711","Обновить задачу","api-tests","Sun Apr 27 18:50:26 GMT 2025","passed","Sun Apr 27 18:50:27 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","346","Получить все задачи","api-tests","Sun Apr 27 18:50:24 GMT 2025","passed","Sun Apr 27 18:50:25 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","367","Удалить задачу","api-tests","Sun Apr 27 18:50:27 GMT 2025","passed","Sun Apr 27 18:50:27 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","31857","Пользователь может завершить задачу кликнув чекбокс","ui-tests","Sun Apr 27 18:48:12 GMT 2025","passed","Sun Apr 27 18:48:43 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","32911","Пользователь может создать новый проект","ui-tests","Sun Apr 27 18:49:17 GMT 2025","passed","Sun Apr 27 18:49:50 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","347","Создать задачу","api-tests","Sun Apr 27 18:50:26 GMT 2025","passed","Sun Apr 27 18:50:26 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","32543","Пользователь может добавить задачу на доску","ui-tests","Sun Apr 27 18:47:39 GMT 2025","passed","Sun Apr 27 18:48:11 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","33861","Пользователь может удалить проект","ui-tests","Sun Apr 27 18:49:50 GMT 2025","passed","Sun Apr 27 18:50:23 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
