"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20270","Пользователь может завершить задачу кликнув чекбокс","ui-tests","Mon Apr 28 21:01:30 GMT 2025","passed","Mon Apr 28 21:01:50 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","21943","Пользователь может удалить проект","ui-tests","Mon Apr 28 21:02:32 GMT 2025","passed","Mon Apr 28 21:02:54 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","451","Обновить задачу","api-tests","Mon Apr 28 21:02:56 GMT 2025","passed","Mon Apr 28 21:02:56 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","235","Удалить задачу","api-tests","Mon Apr 28 21:02:56 GMT 2025","passed","Mon Apr 28 21:02:56 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","21011","Пользователь может изменить заголовок задачи","ui-tests","Mon Apr 28 21:01:50 GMT 2025","passed","Mon Apr 28 21:02:11 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","222","Получить одну задачу","api-tests","Mon Apr 28 21:02:55 GMT 2025","passed","Mon Apr 28 21:02:56 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","20605","Пользователь может добавить задачу на доску","ui-tests","Mon Apr 28 21:01:09 GMT 2025","passed","Mon Apr 28 21:01:29 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","20961","Пользователь может создать новый проект","ui-tests","Mon Apr 28 21:02:11 GMT 2025","passed","Mon Apr 28 21:02:32 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","219","Создать задачу","api-tests","Mon Apr 28 21:02:56 GMT 2025","passed","Mon Apr 28 21:02:56 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","219","Получить все задачи","api-tests","Mon Apr 28 21:02:55 GMT 2025","passed","Mon Apr 28 21:02:55 GMT 2025","API tests","e2e/api/api.spec.ts","",""
