"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","519","Обновить задачу","api-tests","Mon Apr 28 20:07:31 GMT 2025","passed","Mon Apr 28 20:07:32 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","23805","Пользователь может изменить заголовок задачи","ui-tests","Mon Apr 28 20:06:17 GMT 2025","passed","Mon Apr 28 20:06:40 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","259","Получить одну задачу","api-tests","Mon Apr 28 20:07:31 GMT 2025","passed","Mon Apr 28 20:07:31 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","23392","Пользователь может завершить задачу кликнув чекбокс","ui-tests","Mon Apr 28 20:05:53 GMT 2025","passed","Mon Apr 28 20:06:17 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","24759","Пользователь может удалить проект","ui-tests","Mon Apr 28 20:07:05 GMT 2025","passed","Mon Apr 28 20:07:29 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","255","Удалить задачу","api-tests","Mon Apr 28 20:07:32 GMT 2025","passed","Mon Apr 28 20:07:32 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","24150","Пользователь может создать новый проект","ui-tests","Mon Apr 28 20:06:40 GMT 2025","passed","Mon Apr 28 20:07:05 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","253","Получить все задачи","api-tests","Mon Apr 28 20:07:30 GMT 2025","passed","Mon Apr 28 20:07:30 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","255","Создать задачу","api-tests","Mon Apr 28 20:07:31 GMT 2025","passed","Mon Apr 28 20:07:31 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","23393","Пользователь может добавить задачу на доску","ui-tests","Mon Apr 28 20:05:30 GMT 2025","passed","Mon Apr 28 20:05:53 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
