"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29959","Пользователь может удалить проект","ui-tests","Mon Apr 28 20:23:01 GMT 2025","passed","Mon Apr 28 20:23:30 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","28233","Пользователь может добавить задачу на доску","ui-tests","Mon Apr 28 20:21:04 GMT 2025","passed","Mon Apr 28 20:21:32 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","658","Обновить задачу","api-tests","Mon Apr 28 20:23:33 GMT 2025","passed","Mon Apr 28 20:23:33 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","29728","Пользователь может создать новый проект","ui-tests","Mon Apr 28 20:22:31 GMT 2025","passed","Mon Apr 28 20:23:01 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","315","Удалить задачу","api-tests","Mon Apr 28 20:23:33 GMT 2025","passed","Mon Apr 28 20:23:34 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","316","Получить все задачи","api-tests","Mon Apr 28 20:23:31 GMT 2025","passed","Mon Apr 28 20:23:32 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","28877","Пользователь может завершить задачу кликнув чекбокс","ui-tests","Mon Apr 28 20:21:33 GMT 2025","passed","Mon Apr 28 20:22:02 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","314","Получить одну задачу","api-tests","Mon Apr 28 20:23:32 GMT 2025","passed","Mon Apr 28 20:23:32 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","29275","Пользователь может изменить заголовок задачи","ui-tests","Mon Apr 28 20:22:02 GMT 2025","passed","Mon Apr 28 20:22:31 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","315","Создать задачу","api-tests","Mon Apr 28 20:23:32 GMT 2025","passed","Mon Apr 28 20:23:33 GMT 2025","API tests","e2e/api/api.spec.ts","",""
