"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","247","Получить все задачи","api-tests","Mon Apr 28 19:59:40 GMT 2025","passed","Mon Apr 28 19:59:41 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","257","Создать задачу","api-tests","Mon Apr 28 19:59:41 GMT 2025","passed","Mon Apr 28 19:59:42 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","23711","Пользователь может создать новый проект","ui-tests","Mon Apr 28 19:58:51 GMT 2025","passed","Mon Apr 28 19:59:15 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","250","Получить одну задачу","api-tests","Mon Apr 28 19:59:41 GMT 2025","passed","Mon Apr 28 19:59:41 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","259","Удалить задачу","api-tests","Mon Apr 28 19:59:42 GMT 2025","passed","Mon Apr 28 19:59:42 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","23861","Пользователь может изменить заголовок задачи","ui-tests","Mon Apr 28 19:58:27 GMT 2025","passed","Mon Apr 28 19:58:51 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","23086","Пользователь может завершить задачу кликнув чекбокс","ui-tests","Mon Apr 28 19:58:04 GMT 2025","passed","Mon Apr 28 19:58:27 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","24598","Пользователь может удалить проект","ui-tests","Mon Apr 28 19:59:15 GMT 2025","passed","Mon Apr 28 19:59:40 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","520","Обновить задачу","api-tests","Mon Apr 28 19:59:42 GMT 2025","passed","Mon Apr 28 19:59:42 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","23333","Пользователь может добавить задачу на доску","ui-tests","Mon Apr 28 19:57:41 GMT 2025","passed","Mon Apr 28 19:58:04 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
