"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","264","Получить одну задачу","api-tests","Sun Apr 27 16:14:53 GMT 2025","passed","Sun Apr 27 16:14:54 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","25029","Пользователь может удалить проект","ui-tests","Sun Apr 27 16:14:27 GMT 2025","passed","Sun Apr 27 16:14:52 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","267","Создать задачу","api-tests","Sun Apr 27 16:14:54 GMT 2025","passed","Sun Apr 27 16:14:54 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","262","Получить все задачи","api-tests","Sun Apr 27 16:14:53 GMT 2025","passed","Sun Apr 27 16:14:53 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","262","Удалить задачу","api-tests","Sun Apr 27 16:14:54 GMT 2025","passed","Sun Apr 27 16:14:55 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","527","Обновить задачу","api-tests","Sun Apr 27 16:14:54 GMT 2025","passed","Sun Apr 27 16:14:54 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","23828","Пользователь может создать новый проект","ui-tests","Sun Apr 27 16:14:03 GMT 2025","passed","Sun Apr 27 16:14:27 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","23405","Пользователь может добавить задачу на доску","ui-tests","Sun Apr 27 16:12:53 GMT 2025","passed","Sun Apr 27 16:13:16 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","23877","Пользователь может изменить заголовок задачи","ui-tests","Sun Apr 27 16:13:39 GMT 2025","passed","Sun Apr 27 16:14:03 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","22956","Пользователь может завершить задачу кликнув чекбокс","ui-tests","Sun Apr 27 16:13:16 GMT 2025","passed","Sun Apr 27 16:13:39 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
