"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","453","Обновить задачу","api-tests","Mon Apr 28 20:34:31 GMT 2025","passed","Mon Apr 28 20:34:31 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","218","Получить все задачи","api-tests","Mon Apr 28 20:34:30 GMT 2025","passed","Mon Apr 28 20:34:30 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","219","Создать задачу","api-tests","Mon Apr 28 20:34:31 GMT 2025","passed","Mon Apr 28 20:34:31 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","220","Получить одну задачу","api-tests","Mon Apr 28 20:34:30 GMT 2025","passed","Mon Apr 28 20:34:31 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","20048","Пользователь может завершить задачу кликнув чекбокс","ui-tests","Mon Apr 28 20:33:05 GMT 2025","passed","Mon Apr 28 20:33:25 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","21056","Пользователь может изменить заголовок задачи","ui-tests","Mon Apr 28 20:33:25 GMT 2025","passed","Mon Apr 28 20:33:46 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","222","Удалить задачу","api-tests","Mon Apr 28 20:34:31 GMT 2025","passed","Mon Apr 28 20:34:31 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","21043","Пользователь может создать новый проект","ui-tests","Mon Apr 28 20:33:46 GMT 2025","passed","Mon Apr 28 20:34:07 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","22028","Пользователь может удалить проект","ui-tests","Mon Apr 28 20:34:07 GMT 2025","passed","Mon Apr 28 20:34:29 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","20618","Пользователь может добавить задачу на доску","ui-tests","Mon Apr 28 20:32:44 GMT 2025","passed","Mon Apr 28 20:33:04 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
